startYear,isAdult,runtimeMinutes
1961,0.0,91.9721478307445
1962,0.0,93.11783271962125
1963,0.0,93.63657013060761
1964,0.0010193679918450561,94.3802242609582
1965,0.001419782300047326,93.65688594415523
1966,0.0014641288433382138,92.69546120058565
1967,0.0012987012987012987,95.25670995670995
1968,0.005653976630229929,94.65473049378062
1969,0.007196969696969697,91.88295454545455
1970,0.038629737609329445,92.5634110787172
1971,0.07478632478632478,90.31873219373219
1972,0.05040823571175009,90.06389776357827
1973,0.06375484325466714,89.79429376541036
1974,0.060431654676258995,90.59640287769784
1975,0.09251559251559252,89.34476784476784
1976,0.1023950017355085,90.16452620617841
1977,0.09100604337006754,91.481336651262
1978,0.09822361546499478,90.21490769766632
1979,0.07413676371022343,90.38050101557211
1980,0.07244367417677643,91.77850953206239
1981,0.0916159567275186,91.27450980392157
1982,0.06952965235173825,92.406612133606
1983,0.08026101141924959,91.06786296900489
1984,0.09592169657422513,90.6952691680261
1985,0.10341463414634146,92.16195121951219
1986,0.07806932296728215,90.98153547133138
1987,0.05962145110410095,94.34605678233439
1988,0.0594059405940594,92.4003712871287
1989,0.06928264868179031,92.58706315144083
1990,0.06469673405909798,92.15956454121306
1991,0.020191989407480966,92.69049983449189
1992,0.020240137221269296,93.20343053173242
1993,0.01584443644220382,93.86604249189773
1994,0.018848872433524066,92.44631437226523
1995,0.02048780487804878,91.9769105691057
1996,0.01458198314970836,92.91769280622165
1997,0.014139590854392299,92.088146811071
1998,0.006725146198830409,91.24649122807017
1999,0.008766968325791855,91.93523755656109
2000,0.007577737130911941,91.16749412072119
2001,0.003652300949598247,90.93036279522767
2002,0.003203661327231121,91.07848970251716
2003,0.005459890802183957,90.22406551868963
2004,0.003955547184027124,91.39988698436618
2005,0.003170365426330719,89.2778241281495
2006,0.0039447731755424065,89.4503110301927
2007,0.005391600454029512,89.08186719636777
2008,0.004616132167152575,88.36625364431487
2009,0.0029774564015312634,87.36165461505742
2010,0.003420306850386006,87.48030880484707
2011,0.003595795685045178,88.79181264982482
2012,0.00324980757718293,91.64431711280253
2013,0.0030652577236428167,88.48761797209002
2014,0.0025898842169408895,87.86067946374162
2015,0.002530703386676591,89.3723855601042
2016,0.0020188910519864448,89.33830845771145
2017,0.001689070307551552,90.1039482018439
2018,0.0014297969688304261,91.11545610523305
2019,0.0011799410029498525,94.51150442477876
2020,0.00251373242714831,93.34447444372033
